Title,Brand,Price ,Rating,Reviews
"ZEBRONICS Zeb-Thunder With 60H Battery, ENC Mic  40mm",ZEBRONICS,?699,"1,06,880",3.7
"ZEBRONICS BRO With In-Line Mic 3.5mm Jack, 10mm drivers",ZEBRONICS,?899,"1,13,615",4.1
Boult Flex 80Hrs Battery,BOULT,"?1,499","2,755",4.1
Boult Fluid X 60H Battery,BOULT,"?1,799","9,418",4.1
ZEBRONICS ZEB-BRO,ZEBRONICS,?7399,3.7,"1,13,615"
ZEBRONICS Thunder,ZEBRONICS,?7399,3.8,"1,06,880"
Aroma NB120 Amaze Upto 50 Hours,Aroma,?7399,3.8,"1,21,748"
boAt Rockerz 430 wl Beast Mode (40ms),Boat,?2498,4.3,"27,380"
SONY WH-CH520 with 50 Hrs Playtime,Sony,?3990,4.1,"9,446"
Aroma NB121 Almaty Upto 40H Playtime,Aroma,?5990,3.7,"15,486"
Boult Astra with Quad Mic ENC,Boult,?3499,4.1,"1,84,686"
G2L Amazing Wireless Sports Gaming Headphone,G2L,"?1,199",3.5,607
Boult Y1 with Zen ENC Mic,Boult,"?2,999",4.1,"5,11,412"
truke Mega 10 Earbuds w/ 70H Battery,Truke,"?4,499",5,N\A
ZEBRONICS ZebThunder,Zebronics,"?3,229",4.3,"12,70,811"
OnePlus Bullets Wireless Z2 Bluetooth,Oneplus,"?2,299",4,"1,06,880"
Portronics Muffs M2 Wireless,Protronics,"?2,499",5,"2,046"
