Title,Brand,Price ,Ratings,Reviews
Samsung Galaxy Book4 M,Samsung,51990,8670,757
Samsung Galaxy Book4 M,Samsung,34990,4494,487
Lenovo LOQ Intel Core ,Lenovo,94990,16,2
ASUS Expertbook P1 Int,ASUS,50990,431,52
ASUS Expertbook P1 Int,ASUS,59990,88,17
Lenovo 100e Chromebook,Lenovo,9499,287,27
Samsung Galaxy Book4 M,Samsung,54990,8670,757
Acer Aspire 3 Backlit ,Acer,38990,650,52
ASUS Vivobook S14 (202,ASUS,58990,32,2
ASUS Expertbook P1 Int,ASUS,57990,431,52
Acer Aspire Lite AMD R,Acer,27990,483,44
ASUS Chromebook Plus I,ASUS,23990,42,6
MSI Modern 14 Intel Co,MSI,41990,263,27
ASUS Expertbook P1 Int,ASUS,36990,413,57
ASUS Vivobook S15,ASUS,75990,106,10
ASUS Vivobook 15 Intel,ASUS,35990,724,51
ASUS Chromebook Intel ,ASUS,15990,2638,237
Samsung Galaxy Book4 I,Samsung,57999,273,27
Acer Aspire 7 Intel Co,Acer,59990,1371,111
Acer Aspire 7 Intel Co,Acer,54990,2247,165
HP Chromebook Intel Ce,HP,17990,1920,156
Lenovo Chromebook Duet,Lenovo,15990,24,2
Samsung Galaxy Book4 M,Samsung,65490,2947,197
Lenovo V15 AMD Ryzen 5,Lenovo,34990,1475,139
Lenovo IdeaPad 1 MSO'2,Lenovo,36990,242,21
ASUS Vivobook 15 Intel,ASUS,33990,153,13
Samsung Galaxy Book4 M,Samsung,51990,8670,757
Samsung Galaxy Book4 M,Samsung,34990,4494,487
ASUS Vivobook 15,ASUS,44990,8065,465
Lenovo IdeaPad Slim 5 ,Lenovo,62990,25,3
Acer Swift Neo OLED AI,Acer,54990,87,21
Acer Swift Neo OLED AI,Acer,56990,87,21
ASUS Gaming V16 (2025),ASUS,77990,33,4
Acer Aspire Intel Core,Acer,42990,872,84
ASUS Expertbook P1 Int,ASUS,34990,413,57
HP OMEN Intel Core i7 ,HP,119990,173,12
Acer Aspire 3 Intel Co,Acer,28990,1884,156
Samsung Galaxy Book4 I,Samsung,67990,273,27
Lenovo Yoga Slim 6 WUX,Lenovo,63990,311,39
ASUS Vivobook 15 Intel,ASUS,58990,98,10
Acer Aspire Lite AMD R,Acer,27990,483,44
HP Chromebook Intel Ce,HP,17990,1920,156
Lenovo 100e Chromebook,Lenovo,9499,287,27
Acer Aspire 3 Intel Co,Acer,40990,317,28
ASUS TUF Gaming A15 AM,ASUS,94990,81,6
ASUS TUF Gaming A15 AM,ASUS,63990,1245,73
DELL 15 AMD Ryzen 5 He,DELL,41990,213,18
Acer Aspire AMD Ryzen ,Acer,37990,1724,217
