Title,Brand,Price ,Ratings,Reviews
CMF by Nothing Phone 2 Pro ,CMF,18999,12045,1083
Nothing Phone ,Nothing,24999,26834,2373
IQOO Z10X 5G ,IQOO,14399,1374,86
OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box ,OPPO,19999,18110,1272
Nothing Phone ,Nothing,28999,5110,506
REDMI A3X ,REDMI,6999,5449,242
Samsung Galaxy F05 ,Samsung,6249,57673,3374
POCO C71 ,POCO,6999,6757,385
REDMI A5 ,REDMI,7499,1428,80
OnePlus 13R 5G ,OnePlus,39885,2035,156
POCO C71 ,POCO,6999,6757,385
POCO C71 ,POCO,6999,6757,385
vivo T4x 5G ,vivo,13999,78944,4267
realme GT 6 ,realme,27999,3025,305
OnePlus 13R 5G ,OnePlus,43999,917,66
OnePlus 13R 5g ,OnePlus,40099,2035,156
IQOO Z10X 5G ,IQOO,15990,752,35
POCO M6 Plus 5G ,POCO,10080,55533,3393
POCO C75 5G ,POCO,7699,76055,3888
REDMI A3X ,REDMI,5999,8712,384
MOTOROLA Edge 60 Fusion 5G ,MOTOROLA,22999,34612,2011
MOTOROLA g05 ,MOTOROLA,7299,39241,2881
POCO C71 ,POCO,6399,16605,902
realme GT 6 ,realme,28999,3025,305
Samsung Galaxy S24 FE 5G ,Samsung,41999,10660,900
Tecno Pova 6 Neo 5G ,Tecno,11999,2450,148
CMF by Nothing Phone 2 Pro ,CMF,18999,12045,1083
Nothing Phone ,Nothing,28999,5110,506
POCO M7 Pro 5G ,POCO,14999,6363,662
Infinix Note 50s 5G+ ,Infinix,14999,639,47
Nothing Phone ,Nothing,26999,26834,2373
OPPO Reno14 5G ,OPPO,37999,264,45
POCO M7 Pro 5G ,POCO,12999,14988,1366
POCO X7 Pro 5G ,POCO,24999,4260,551
Samsung Galaxy F16 5G ,Samsung,13499,1580,123
Samsung Galaxy F16 5G ,Samsung,10749,2292,147
POCO C75 5G ,POCO,7699,76055,3888
Infinix Note 50x 5G+ ,Infinix,11499,9375,964
Samsung Galaxy F06 5G ,Samsung,8499,15080,1072
OnePlus Nord CE4 lite 5G ,OnePlus,16936,23812,1158
REDMI A3X ,REDMI,6999,5449,242
Infinix Note 50s 5G+ ,Infinix,15999,13308,1337
REDMI A5 ,REDMI,6499,1771,90
Apple iPhone 16 ,Apple,81999,19106,793
POCO F7 5G ,POCO,31999,3042,426
Samsung Guru Music 2 B310ED,Samsung,978,14247,1109
POCO X7 5G ,POCO,17999,10524,992
IQOO Z10X 5G ,IQOO,17475,752,35
